NPA,m28_2018,r28_2018,m28_2017,r28_2017,m28_2016,r28_2016,m45_2018,r45_2018,m45_2017,r45_2017,m45_2016,r45_2016,m45_2015,r45_2015,m45_2014,r45_2014,m45_2011,r45_2011,m46_2018,r46_2018,m46_2017,r46_2017,m46_2016,r46_2016,m46_2015,r46_2015,m46_2013,r46_2013,m46_2011,r46_2011,m74_2018,r74_2018,m74_2017,r74_2017,m74_2016,r74_2016,m74_2015,r74_2015,m74_2013,r74_2013,m54_2016,m54_2014,m54_2012,m54_2010,m55_2016,m55_2014,m55_2012,m56_2016,m56_2014,m56_2012,m57_2016,m57_2014,m57_2012,m57_2010,m81_2017,m81_2015,m81_2014
NPA,Low_Cost_Healthcare_Proximity_2018,Low_Cost_Healthcare_Proximate_Units_2018,Low_Cost_Healthcare_Proximity_2017,Low_Cost_Healthcare_Proximate_Units_2017,Low_Cost_Healthcare_Proximity_2016,Low_Cost_Healthcare_Proximate_Units_2016,Grocery_Proximity_2018,Grocery_Proximate_Units_2018,Grocery_Proximity_2017,Grocery_Proximate_Units_2017,Grocery_Proximity_2016,Grocery_Proximate_Units_2016,Grocery_Proximity_2015,Grocery_Proximate_Units_2015,Grocery_Proximity_2014,Grocery_Proximate_Units_2014,Grocery_Proximity_2011,Grocery_Proximate_Units_2011,Pharmacy_Proximity_2018,Pharmacy_Proximate_Units_2018,Pharmacy_Proximity_2017,Pharmacy_Proximate_Units_2017,Pharmacy_Proximity_2016,Pharmacy_Proximate_Units_2016,Pharmacy_Proximity_2015,Pharmacy_Proximate_Units_2015,Pharmacy_Proximity_2013,Pharmacy_Proximate_Units_2013,Pharmacy_Proximity_2011,Pharmacy_Proximate_Units_2011,Park_Proximity_2018,Park_Proximate_Units_2018,Park_Proximity_2017,Park_Proximate_Units_2017,Park_Proximity_2016,Park_Proximate_Units_2016,Park_Proximity_2015,Park_Proximate_Units_2015,Park_Proximity_2013,Park_Proximate_Units_2013,Births_to_Adolescents_2016,Births_to_Adolescents_2014,Births_to_Adolescents_2012,Births_to_Adolescents_2010,Low_Birthweight_2016,Low_Birthweight_2014,Low_Birthweight_2012,Prenatal_Care_2016,Prenatal_Care_2014,Prenatal_Care_2012,Age_of_Death_2016,Age_of_Death_2014,Age_of_Death_2012,Age_of_Death_2010,Public_Health_Insurance _2017,Public_Health_Insurance _2015,Public_Health_Insurance _2014
2,19,205,21,231,21,230,32,349,32,353,19,205,19,205,19,204,21,223,40,431,1,9,2,18,19,206,20,219,20,218,53,576,53,574,53,576,53,575,53,575,6.7,1.4,0,6.2,10,21.6,9.2,60,75.7,84.6,70,68,70,62,15,18,13
3,50,2936,75,3976,85,4011,78,4611,78,3349,66,3113,66,3118,54,2565,57,2540,94,5598,92,4848,91,4320,91,4330,95,4513,95,4245,91,5373,90,4741,96,4524,96,4547,94,4467,3,3.5,4.4,3.8,6.9,8.7,7.2,80.2,83,92.3,70,70,70,74,6,4,8
4,2,7,3,11,23,93,16,67,16,52,13,52,13,52,13,52,21,85,20,82,0,0,15,60,14,58,15,60,15,60,1,6,1,6,1,6,1,6,1,6,0,7.1,0,0,5.9,14.3,0,70.6,85.7,100,76,80,80,84,1,1,1
5,44,140,40,128,29,93,8,24,8,31,13,43,14,45,14,45,35,116,51,163,49,159,52,170,52,172,52,170,9,31,97,310,97,311,93,302,93,307,93,306,12.5,13,3.8,13.3,16.7,17.4,3.8,50,52.2,69.2,65,65,55,55,43,53,38
6,63,507,65,525,65,528,51,411,51,544,67,548,67,547,67,550,81,671,85,684,83,679,86,701,86,701,91,749,87,714,67,542,65,527,65,534,65,533,65,536,5.3,8.9,10.3,13.5,7,25,10.3,49.1,55.4,62.1,66,60,65,70,38,48,35
7,27,115,27,117,40,171,42,183,42,202,47,200,47,199,47,198,43,180,32,138,37,159,37,157,37,156,37,155,37,155,85,367,85,367,85,362,85,360,84,357,0,0,0,0,18.2,0,10,63.6,91.7,100,79,81,75,,,,
8,27,287,29,298,29,298,14,151,14,135,13,135,13,135,12,127,12,108,31,335,0,5,32,327,32,331,32,331,24,217,85,916,67,694,68,701,67,695,68,697,0,0,0,0,5,4.7,4.7,80,90.7,93,84,85,80,82,13,9,20
9,100,304,99,291,99,301,93,282,93,249,81,246,80,243,81,246,98,299,100,304,100,294,100,304,100,301,100,304,100,304,100,304,100,294,100,305,100,302,100,305,0,0,5.3,3.1,5.6,17.4,10.5,77.8,87,84.2,62,74,80,,11,10,7
10,59,945,62,984,62,986,65,1036,65,1245,78,1246,78,1245,78,1245,69,1096,85,1364,86,1358,86,1365,80,1269,80,1270,80,1273,99,1581,100,1579,100,1585,100,1585,100,1588,1.8,3.6,10.6,4.2,12.4,14.4,14.4,60.2,71.2,73.1,69,67,71,67,29,29,29
11,30,379,30,375,31,374,59,745,59,772,63,767,55,675,56,675,57,689,46,578,31,378,47,571,46,567,60,723,59,710,100,1253,100,1231,100,1225,100,1225,100,1212,0,0,0,0,7.8,10.1,10.5,82.2,85.4,100,77,83,77,77,1,1,1
12,93,1169,93,1169,93,1169,0,0,0,0,0,0,0,0,0,0,0,0,93,1169,100,1257,100,1257,100,1257,100,1257,0,0,59,738,59,738,59,738,59,738,59,738,4.3,8.3,6.8,7.2,9.6,12.5,11.4,53.2,52.1,63.6,64,62,58,49,31,34,27
13,0,0,0,0,0,0,14,258,14,257,0,0,0,0,0,0,0,0,24,440,24,436,24,435,24,432,23,415,23,416,68,1253,69,1263,68,1251,68,1248,68,1234,2.6,3.9,4.2,1.6,9.4,6.8,6.3,56.4,56.3,61.5,64,67,63,68,16,18,15
14,12,188,47,764,47,764,60,960,60,1011,63,1010,63,1011,63,1012,60,969,60,968,63,1011,63,1010,63,1011,63,1012,63,1012,67,1081,86,1393,86,1395,86,1396,86,1396,3.9,1,0,3.9,15.5,6.7,16.5,59.7,68.6,76.5,64,65,65,64,14,16,10
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,511,59,503,59,493,59,488,58,480,0,0,0,1.7,13.6,4.8,4.3,76.3,85.7,95.7,78,73,75,75,5,6,5
16,14,300,13,275,57,1208,16,333,16,344,16,344,19,409,19,409,3,73,63,1331,41,871,67,1422,54,1137,61,1281,61,1288,48,1009,47,986,47,986,47,984,47,984,3.7,3,2.7,5.2,9.8,14.8,10.3,57.9,58,72.6,65,63,67,69,29,31,22
17,32,394,31,383,31,383,73,913,73,946,38,470,38,472,38,472,0,0,33,418,33,416,33,416,33,416,33,416,32,408,90,1122,89,1117,89,1117,89,1120,89,1120,7.8,2,10.8,10.9,17.5,11.1,16.2,41.8,59.6,56.8,67,67,72,66,30,36,28
18,67,1121,72,1202,83,1409,25,419,25,439,29,498,29,497,29,497,1,8,65,1090,72,1194,73,1243,83,1412,83,1401,82,1309,79,1331,79,1322,81,1368,81,1365,81,1369,0,2.7,0,3.1,12.8,5.5,13.6,74.4,86.3,87.7,79,84,77,76,4,4,4
19,0,0,0,0,0,0,29,509,29,607,34,607,34,607,35,607,29,510,29,518,34,607,35,618,35,618,35,618,35,618,77,1356,76,1339,76,1339,76,1339,76,1336,2.1,1.1,0,1.1,9.3,3.2,8.5,81.4,85.3,87.8,77,80,75,78,4,5,2
20,21,306,22,321,22,321,74,1081,74,1009,69,1009,69,1009,69,1009,74,1077,57,827,54,789,75,1083,75,1083,75,1083,75,1083,14,196,16,225,15,225,15,225,15,225,1.4,0,0,1.2,10,4.1,7.1,71.4,82.2,85.7,79,76,74,75,4,5,3
21,27,326,28,337,28,337,44,533,44,445,0,0,0,0,0,0,41,483,0,0,0,0,43,532,43,529,43,525,41,479,91,1103,92,1122,92,1125,92,1123,92,1123,0.9,1.7,4,1.9,10.2,8.3,7.9,44.4,55.4,54.5,57,62,68,51,30,37,32
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,85,0,0,0,0,0,0,0,0,0,0,0,0,100,688,100,696,100,508,100,499,100,364,10,8.3,5.3,8.7,15,0,21.1,45,66.7,78.9,58,68,69,68,10,15,12
23,1,8,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,525,97,532,97,533,97,533,97,533,7.7,5.6,0,6.7,12.8,5.6,14.3,71.8,55.6,75,69,68,67,75,49,50,45
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,119,36,160,33,147,0,0,0,0,0,0,99,421,99,441,99,441,99,443,98,464,2.8,8.9,2.4,3.6,11.1,6.7,4.9,61.1,64.4,68.3,77,80,78,82,7,12,13
25,0,0,0,0,0,0,0,0,0,296,26,296,27,296,27,296,21,230,15,172,26,296,26,296,27,296,27,296,27,296,45,515,45,504,44,495,44,489,52,579,0,0,0,0,3.5,3,8.9,86,72.7,95.6,78,74,70,71,3,4,2
26,0,0,0,0,0,0,13,140,13,140,13,136,13,136,13,136,14,146,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,15,1,15,1,15,1,14,1.7,1.4,3,0,1.7,5.7,7.6,65,68.6,80.3,71,75,69,71,8,11,7
27,0,0,0,0,0,0,68,673,68,674,68,674,68,674,68,674,67,659,66,653,68,674,68,674,68,674,68,674,68,673,7,67,7,67,7,67,7,67,7,67,0,0,4.2,4.7,13.9,4.3,4.2,56.9,55.7,74.6,64,75,47,49,19,23,20
28,88,490,88,488,100,550,57,319,57,344,62,342,62,343,63,343,50,273,90,506,62,344,93,511,62,343,94,513,94,512,38,211,38,210,38,209,38,210,38,210,0,0,0,0,4.8,0,0,85.7,88.2,95.7,87,82,80,76,3,1,2
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,11.8,0,0,11.5,17.7,9.1,84.6,70.6,90.9,83,73,81,70,4,5,2
30,0,0,96,1057,96,948,56,613,56,595,28,275,17,146,0,0,0,0,58,634,57,620,52,511,18,152,1,7,1,6,80,874,100,1096,100,987,95,810,100,504,7.5,6.6,9.1,6.5,13.4,23,22.7,43.3,63.9,70.5,66,61,65,69,32,45,56
31,20,137,27,182,26,179,20,136,20,164,24,161,24,160,24,162,0,0,3,22,5,31,4,28,4,27,4,30,4,30,20,141,21,141,21,141,21,141,21,141,0,0,0,0,6.8,8.7,9.1,86.4,89.1,97,83,79,75,80,2,2,1
32,0,0,0,0,0,0,100,220,100,220,100,220,100,220,100,220,100,220,100,220,100,220,100,220,100,220,100,220,100,220,76,168,80,176,80,176,80,176,80,176,0,,,0,11.1,,,66.7,,,,,73,,7,7,7
33,0,0,62,390,62,390,62,390,62,587,62,391,62,391,94,587,64,390,94,589,93,587,93,587,93,587,94,587,96,587,0,0,0,1,0,0,0,0,0,0,1.3,0,0,0,13.8,7.1,4.2,65,69.6,68.8,62,57,,,8,12,6
34,0,0,0,0,0,0,27,244,27,257,32,261,32,257,31,253,29,227,34,311,34,281,35,292,35,288,35,280,33,258,0,0,0,3,0,0,0,0,0,0,7.8,3.5,7.7,7,14.3,10.5,13.8,58.4,57.9,56.9,63,73,63,66,30,32,24
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,2,16,1.4,9.4,3.8,2.1,7,5.7,5.7,71.8,71.7,86.8,65,72,68,66,15,21,15
36,52,689,48,637,51,625,33,443,33,482,32,393,32,393,21,223,18,188,38,507,36,482,32,393,32,393,21,223,22,223,86,1145,86,1140,85,1046,85,1045,82,865,0,0,0,2.9,7.3,7.8,2.4,73.9,78.1,75.6,75,70,73,68,8,9,8
37,0,0,0,0,0,0,0,0,0,113,13,99,13,99,13,100,0,0,9,67,5,35,4,34,4,34,4,35,5,38,100,787,100,776,100,774,100,779,100,780,3.5,7.1,6.9,19,21.1,14.3,16.7,63.2,51.8,77.8,57,61,68,64,32,36,35
38,0,0,0,0,0,0,39,332,39,271,32,271,32,271,32,271,34,289,21,178,18,149,26,216,19,158,32,271,15,123,60,507,61,516,61,516,61,516,61,516,0,2.2,0,0,8,6.7,11.5,70,82.2,73.1,72,76,64,68,6,7,5
39,0,0,0,0,0,0,11,108,11,143,12,112,12,111,12,111,33,309,9,94,0,0,0,0,0,0,0,0,0,0,60,594,15,145,14,138,14,135,14,133,7.8,6.2,4.7,1.3,14.3,13.6,15.1,66.2,60.5,70.9,72,65,62,65,19,27,16
40,35,428,36,435,48,576,66,805,66,810,64,767,64,762,64,762,62,730,67,820,68,811,78,930,71,841,71,841,67,789,73,894,72,860,72,859,72,852,72,850,3.3,2.3,8.6,12,10.8,10.2,8.6,47.5,46.6,57,61,65,64,64,28,33,23
41,3,22,1,9,1,9,26,198,26,386,44,338,43,334,49,382,12,95,49,378,37,290,46,354,46,357,46,357,43,329,100,774,100,774,100,773,100,773,100,773,2.4,3.3,0,3.8,2.4,6.7,7.7,57.1,70,73.1,71,72,73,69,12,14,9
42,0,0,0,0,0,0,2,28,2,46,3,46,3,46,3,46,2,27,2,28,3,46,3,46,3,46,3,46,3,46,82,1095,82,1095,82,1095,82,1095,82,1095,1.6,0,2.3,0,11.5,11.1,4.5,80.3,91.1,90.9,70,77,76,67,6,6,5
43,0,0,0,0,0,0,60,390,60,403,62,403,62,403,62,403,59,376,60,390,62,403,62,403,62,403,62,403,62,395,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2.6,7.7,3,71.1,87.2,84.8,82,77,82,60,6,9,9
44,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,2,0,2,0,2,0,2,0,2,74,363,74,357,74,351,74,341,74,336,0,0,0,0,26.7,4.8,9.1,80,76.2,100,56,,,68,4,3,1
45,0,0,0,0,0,0,3,44,3,60,0,0,0,0,0,0,0,0,3,44,8,104,3,39,0,0,0,0,0,0,27,440,17,223,12,145,11,130,10,116,0.7,0.6,0,0.6,10.5,6.3,11,80.9,83.1,83.7,67,59,60,70,7,8,6
46,0,0,0,0,0,0,90,863,90,925,97,925,97,925,97,925,90,865,0,0,35,334,35,334,35,334,35,334,35,334,37,357,37,357,37,357,37,357,37,357,1.9,5,0,2,9.6,5,7.3,55.8,47.5,67.3,72,68,71,66,16,17,12
47,0,0,0,0,0,0,98,595,98,591,100,639,100,640,100,640,98,631,98,596,0,0,100,639,100,640,100,640,100,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,6.1,3,80.5,90.9,90.9,78,86,81,78,10,6,7
48,0,0,0,0,0,0,17,105,17,100,18,109,18,109,18,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,464,76,463,76,465,76,465,76,467,2.8,0,0,4.5,13.9,10.6,10.7,52.8,57.5,60.7,66,67,72,71,22,27,21
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,253,26,253,26,253,26,252,26,252,4.7,2.9,5.1,2.9,12.5,5.9,10.2,56.3,69.1,66.1,71,65,71,66,17,21,13
50,80,846,73,774,73,774,70,735,70,783,74,784,74,784,74,783,71,744,71,751,70,742,69,727,72,754,64,674,64,674,48,509,41,436,41,436,41,436,41,435,2.5,7.4,5.8,10.1,10.6,8.8,5,50,41.2,50,52,64,66,68,39,50,42
51,52,590,33,250,33,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1137,100,761,100,765,100,732,100,737,3.1,0,2.7,0,15.6,9.5,18.9,75,85.7,89.2,68,66,75,61,6,8,6
52,0,0,0,0,0,0,0,0,0,0,0,0,63,349,77,686,42,374,61,451,35,207,38,207,38,207,23,208,24,211,64,476,61,361,57,316,51,283,73,653,8.6,2.7,9.5,6.4,10.3,12.2,12.7,46.6,60.8,59.5,62,70,64,58,29,38,26
53,0,0,0,0,23,280,37,388,37,295,24,295,24,295,28,295,0,0,0,0,29,309,25,309,41,502,34,358,32,340,100,1058,38,408,33,408,100,1220,100,1058,5.6,6.7,9.7,7.2,12.5,13.3,9.7,47.2,38,47.6,67,60,58,48,32,35,32
54,0,0,0,0,0,0,7,41,7,14,1,5,1,5,1,5,7,39,7,42,2,13,1,5,1,5,1,5,1,4,58,331,55,315,56,313,58,323,58,324,9.3,4,10.3,9.2,8,5.3,6.9,34.7,38.2,58.6,65,67,68,64,28,36,29
55,32,256,36,290,39,311,11,85,11,30,4,30,4,30,4,30,10,83,0,0,0,0,5,41,5,41,5,41,5,40,0,0,0,0,0,0,0,0,0,0,0,2.6,0,7.3,2.4,7.7,8.3,73.2,71.8,88.9,76,80,77,79,6,9,6
56,50,181,48,174,48,174,83,301,83,337,93,337,93,337,92,332,85,305,86,312,95,347,96,348,96,348,84,302,84,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,11.1,80,60,77.8,,89,71,73,9,11,8
57,0,0,0,0,0,0,0,0,0,0,0,0,95,634,95,634,84,572,0,0,0,0,0,0,0,0,0,0,0,0,86,573,86,573,86,573,86,573,86,573,1.1,3,6.6,5.8,8.9,3,8.2,41.1,39.4,52.5,61,62,71,66,34,48,34
58,48,233,49,239,49,239,54,260,54,398,82,398,82,398,82,398,27,133,54,260,52,254,89,432,89,432,85,414,85,414,90,439,90,435,79,384,79,385,79,385,6.8,2.6,5.7,7.7,8.5,10.5,20,54.2,52.6,57.1,67,70,71,69,32,41,28
59,56,623,55,606,55,606,25,280,25,238,21,238,21,238,21,238,4,44,61,679,52,578,61,680,61,678,48,532,48,532,0,3,1,6,1,6,1,6,0,2,4.6,2.6,4.2,5.7,5.7,15.4,5.6,52.3,50,62.5,69,55,69,68,28,29,32
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1300,72,1000,66,744,66,745,64,638,62,1047,62,1047,76,1047,70,791,70,790,3.8,3.3,1.9,3.6,7.6,10,11.5,52.8,40,50,46,52,55,66,8,13,11
61,0,0,0,0,0,0,0,0,0,3,1,3,1,3,1,3,0,0,0,0,9,37,9,37,9,38,9,38,9,38,23,101,23,101,23,101,23,101,23,101,7.1,0,0,17.4,7.1,3.6,6.5,42.9,64.3,64.5,,54,63,,15,17,8
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,64,100,64,100,64,100,64,0,0,,,,,,,,,,,,,,,,,
64,0,0,0,0,26,528,51,1312,51,1312,39,794,39,816,37,723,36,704,0,0,5,138,30,613,29,603,31,603,31,603,55,1399,55,1399,27,547,44,919,95,1874,2.2,0,3.6,6.9,5.4,11.2,10.7,54.8,61.8,60.7,63,60,53,53,10,15,11
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,932,76,932,92,860,40,492,49,528,0.7,0,0,3.6,14,7.5,13.8,66.2,69.2,76.3,66,50,,48,5,4,3
66,6,79,6,79,6,79,100,1353,100,1353,100,1353,100,1353,100,1263,100,1256,78,1053,56,751,56,751,56,751,52,661,52,654,97,1319,97,1318,97,1318,97,1318,97,1229,0,1.2,1.5,1.4,6.9,3.6,16.4,58.3,49.4,61.2,74,74,75,77,14,12,16
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,631,100,631,100,643,100,643,100,631,0,2.6,0,0,7.3,7.9,5.6,60,60.5,72.2,62,,,,5,5,7
68,0,0,57,643,57,643,49,551,49,631,48,548,48,548,48,547,46,524,55,621,64,729,64,729,64,729,64,729,0,0,17,188,17,188,17,188,17,188,17,188,0,1.2,3.8,8,14.7,9.6,10.1,75,62.7,70.9,57,64,65,56,16,20,12
69,0,0,0,0,0,0,77,555,77,564,78,564,76,481,79,600,78,591,66,478,67,482,67,482,63,400,69,520,69,520,36,257,35,254,36,256,43,273,52,394,0,0,0,0,0,10,0,76.9,70,90,88,65,70,78,1,1,0
70,3,16,27,139,23,121,41,211,41,354,68,355,68,355,68,357,44,229,40,207,66,343,66,344,66,344,66,346,66,345,100,519,100,520,100,521,100,521,100,523,10.3,11.1,21.7,21.2,15.4,3.7,13,59,63,56.5,74,72,77,75,42,45,50
71,29,416,29,417,29,416,62,880,62,537,38,537,38,537,38,536,39,544,60,855,60,854,60,854,60,854,60,853,61,853,76,1082,76,1085,76,1085,76,1085,76,1077,4.8,4.5,5.1,5.1,10.1,7.5,10.2,53.9,39.5,49.5,60,53,55,50,24,29,26
72,0,0,0,0,0,1,37,676,37,547,49,549,47,549,47,550,42,234,33,593,31,441,39,443,38,443,38,444,29,164,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,6.4,5.6,9.1,71.4,63,78.8,60,66,63,61,8,7,7
73,0,0,0,0,0,0,4,51,4,67,6,67,6,67,6,67,5,52,1,12,2,19,2,19,2,19,2,19,2,19,8,91,7,81,7,77,5,52,4,37,1,3.5,0,2.1,10.9,7,6.5,61.4,76.7,77.4,74,64,67,71,20,26,20
74,0,0,0,0,0,0,69,508,69,512,69,512,69,512,69,512,69,508,69,508,69,512,69,512,69,512,69,511,69,511,99,732,99,732,99,732,99,732,99,732,0,0,0,0,10.3,30.4,0,75.9,87,85.7,73,75,72,80,9,8,5
75,79,633,87,690,95,758,93,743,93,353,89,708,89,708,88,652,92,620,93,744,89,702,89,706,89,706,88,650,87,582,27,212,30,238,30,240,30,240,27,201,0,0,0,0,11.1,8.8,0,86.1,88.2,71.4,73,76,71,70,5,6,3
76,5,64,7,81,7,75,1,17,1,3,0,3,0,4,0,4,2,15,4,49,3,36,3,36,0,4,0,3,0,3,16,182,16,182,15,169,0,2,0,2,1,0,1.6,0,1,9.8,14.5,77,72,75.8,68,59,59,55,7,7,4
77,59,1330,57,1270,57,1281,54,1215,54,1219,54,1220,54,1220,54,1146,49,994,58,1294,59,1315,59,1316,54,1220,49,1040,50,1031,61,1363,61,1364,61,1365,60,1347,59,1258,2.6,1.2,2.9,2,6.5,7.3,8.1,72.1,66.1,76.7,68,59,58,60,12,14,10
78,0,0,32,296,32,296,29,264,29,264,29,264,29,264,30,265,32,265,45,414,41,373,41,373,41,373,42,374,0,0,27,246,27,246,27,246,27,246,27,246,2.7,2.8,1.2,4.1,8.2,4.2,13.1,60.3,61.1,79.8,61,67,,59,13,15,9
79,0,0,18,120,100,518,100,679,100,518,100,518,100,518,76,518,0,0,0,0,100,679,100,518,100,518,100,679,100,679,100,679,0,0,0,0,100,518,100,679,9.6,6.3,6.3,6.3,7,9.9,7.1,32.2,22.5,41.1,48,56,,23,27,42,26
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,46,540,45,528,45,528,46,540,0,0,2.3,0,8.8,11.9,9.3,64.9,59.3,67.4,77,,72,55,10,10,8
81,0,0,21,96,21,96,3,16,3,17,2,11,2,11,2,11,0,0,39,183,57,265,56,253,56,253,56,253,0,0,99,460,99,460,99,448,99,448,99,448,0,0,0,0,14.8,7.7,3.7,66.7,73.1,77.8,69,56,66,67,9,11,5
82,0,0,0,0,0,0,50,589,50,524,46,524,36,322,36,322,41,368,50,589,45,524,46,524,36,322,36,322,36,322,75,895,75,870,77,871,74,669,74,669,1.1,0,0,0,7.7,15,6.7,71.4,63.3,76.7,56,61,58,75,9,12,6
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,67,22,66,23,66,22,65,22,65,1.9,5.2,4.7,10.2,1.9,6.9,12.5,55.8,51.7,50,69,68,67,71,49,71,35
