NPA,m33_2018,m33_moe_2018,m33_2017,m33_moe_2017,m34_2018,m34_2017,m34_2016,m34_2015,m34_2013,m34_2011,m35_2018,m35_2017,m35_2016,m35_2015,m35_2013,m35_2011,m70_2015,r70_2015,m36_2018,r36_2018,m36_2017,r36_2017,m36_2016,r36_2016,m36_2015,r36_2015,m36_2013,r36_2013,m36_2011,r36_2011,m44_2015,r44_2015,m44_2014,r44_2014,m44_2013,r44_2013
NPA,Long_Commute_2018,Long_Commute_moe_2018,Long_Commute_2017,Long_Commute_moe_2017,Bicycle_Friendliness_2018,Bicycle_Friendliness_2017,Bicycle_Friendliness_2016,Bicycle_Friendliness_2015,Bicycle_Friendliness_2013,Bicycle_Friendliness_2011,Street_Connectivity_2018,Street_Connectivity_2017,Street_Connectivity_2016,Street_Connectivity_2015,Street_Connectivity_2013,Street_Connectivity_2011,Sidewalk_Availability_2015,Sidewalk_Miles_2015,Transit_Proximity_2018,Transit_Proximate_Units_2018,Transit_Proximity_2017,Transit_Proximate_Units_2017,Transit_Proximity_2016,Transit_Proximate_Units_2016,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Proximity_2013,Transit_Proximate_Units_2013,Transit_Proximity_2011,Transit_Proximate_Units_2011,Transit_Ridership_2015,Transit_Ridership_Total_2015,Transit_Ridership_2014,Transit_Ridership_Total_2014,Transit_Ridership_2013,Transit_Ridership_Total_2013
2,39,11,39,12,1.5,1.5,1.5,1.5,1.5,1.6,1.2,1.2,1.2,1.2,1.15,1.17,74.3,7.3,100,1083,100,1079,100,1079,100,1079,100,1081,100,1082,35,879,43,1068,54,1348
3,33,4,32,5,2.1,2.1,2.2,2.1,2.3,2.2,1.48,1.48,1.48,1.5,1.55,1.55,83.6,31.5,100,5931,100,5283,100,4730,100,4752,100,4746,100,4468,34,2346,35,2438,33,2697
4,58,13,57,14,1.7,1.7,1.8,1.7,1.7,1.6,1.17,1.17,1.17,1.17,1.17,1.17,32.8,2.3,86.16,361,92.65,378,92.86,377,94.31,381,100,402,100,401,8,59,9,60,5,53
5,39,22,27,18,1.6,1.6,1.6,1.6,1.7,1.5,1.16,1.16,1.16,1.16,1.19,1.19,38.6,1.8,100,318,100,322,100,326,100,331,100,329,100,332,17,66,15,60,17,67
6,46,13,49,14,1.7,1.7,1.8,1.8,1.8,1.7,1.28,1.28,1.28,1.3,1.3,1.3,41.2,5.4,100,808,100,814,100,816,100,817,100,820,100,825,74,1258,77,1312,86,1375
7,42,16,35,12,1.5,1.5,1.5,1.5,1.5,1.5,1.19,1.19,1.19,1.19,1.19,1.19,53.2,6.5,43.29,187,70.53,304,70.73,302,73.71,314,88.89,376,89.29,375,30,178,31,220,58,405
8,53,13,40,12,1.3,1.3,1.3,1.3,1.3,1.3,1.13,1.13,1.13,1.16,1.17,1.17,57.3,6.3,100,1080,100,1029,100,1036,98.54,1015,100,1024,100,901,9,209,11,242,9,193
9,45,17,37,14,1.7,1.7,1.7,1.7,1.7,1.7,1.38,1.38,1.38,1.38,1.38,1.39,45.0,1.8,100,304,100,294,100,305,100,302,100,305,100,305,25,197,29,232,31,251
10,59,7,59,8,1.7,1.7,1.7,1.6,1.6,1.6,1.36,1.36,1.35,1.35,1.35,1.35,65.0,11.0,95.62,1527,100,1586,100,1592,100,1592,100,1595,100,1599,42,1528,42,1498,42,1453
11,45,10,41,9,1.7,1.7,1.7,1.7,1.8,1.8,1.2,1.2,1.2,1.2,1.25,1.26,63.0,7.5,100,1253,100,1231,100,1225,100,1225,100,1212,100,1209,67,734,76,839,65,843
12,52,9,47,8,1.4,1.4,1.3,1.4,1.4,1.4,1.05,1.05,1.05,1.05,1.08,1.08,34.5,0.9,100,1257,100,1257,100,1257,100,1257,100,1257,100,1257,95,668,116,814,123,860
13,45,7,49,7,1.6,1.6,1.6,1.6,1.6,1.6,1.24,1.24,1.24,1.24,1.24,1.24,46.5,5.0,100,1832,100,1831,100,1830,100,1827,100,1810,100,1812,13,249,17,319,21,406
14,58,9,59,8,1.3,1.3,1.3,1.3,1.4,1.4,1.09,1.09,1.08,1.1,1.1,1.1,48.4,5.7,74.3,1197,74.24,1196,74.27,1198,74.23,1198,74.23,1198,74.33,1199,132,528,147,586,142,568
15,70,10,59,13,1.6,1.6,1.6,1.5,1.6,1.6,1.18,1.18,1.18,1.17,1.18,1.19,25.7,3.4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
16,54,5,52,6,1.4,1.4,1.5,1.5,1.4,1.4,1.18,1.19,1.2,1.2,1.2,1.2,40.3,7.3,93.13,1967,93.14,1968,97.54,2062,97.63,2062,98.48,2080,98.49,2087,33,462,36,543,38,600
17,70,8,64,9,1.4,1.4,1.4,1.4,1.4,1.4,1.18,1.18,1.18,1.18,1.19,1.18,42.9,5.5,100,1250,100,1253,100,1253,100,1256,100,1256,100,1256,62,1426,64,1473,66,1511
18,54,2,46,17,1.6,1.6,1.6,1.6,1.5,1.5,1.16,1.16,1.16,1.17,1.17,1.17,48.2,7.6,100,1684,100,1666,100,1693,100,1695,100,1691,100,1596,87,958,105,1155,112,1227
19,46,7,47,6,1.6,1.6,1.7,1.6,1.6,1.6,1.15,1.15,1.15,1.15,1.15,1.15,33.7,6.6,97.46,1725,97.5,1718,97.5,1718,97.5,1718,97.67,1718,97.72,1715,7,104,7,109,6,93
20,76,13,66,11,1.5,1.5,1.5,1.5,1.5,1.4,1.09,1.08,1.08,1.08,1.08,1.08,54.4,6.2,41.74,606,41.74,606,41.74,606,41.74,606,40.63,590,28.91,420,,,,,,
21,68,12,66,13,1.3,1.3,1.3,1.3,1.3,1.3,1.18,1.18,1.18,1.18,1.18,1.18,47.1,6.6,100,1209,100,1221,100,1224,100,1220,100,1216,100,1168,195,6035,183,6054,191,5930
22,54,10,57,9,1.4,1.4,1.4,1.4,1.5,1.4,1.23,1.22,1.22,1.23,1.27,1.26,68.5,5.6,100,688,100,696,100,508,100,499,100,364,100,467,64,964,75,1119,81,1217
23,55,25,49,21,1.7,1.7,1.7,1.7,1.7,1.7,1,1,1,1,1,1,50.7,1.9,83.82,461,83.97,461,83.64,460,83.64,460,82.91,456,82.51,453,,,,,,
24,42,9,50,9,1.7,1.7,1.8,1.7,1.7,1.7,1.25,1.25,1.25,1.25,1.25,1.25,52.3,3.2,100,426,100,446,100,446,100,448,100,473,100,474,50,250,67,333,62,312
25,73,8,70,7,1.5,1.5,1.6,1.5,1.5,1.5,1.08,1.08,1.08,1.08,1.08,1.08,21.0,2.9,37.79,430,37.18,419,37.39,418,37.5,417,36.81,409,36.72,408,0,0,1,1,1,1
26,80,8,81,7,1.4,1.4,1.3,1.4,1.5,1.1,1.03,1.03,1.03,1.03,1.06,1.05,36.2,6.5,12.4,134,12.54,134,12.55,134,12.54,134,12.48,133,0,0,,,,,,
27,76,8,80,27,1.4,1.4,1.4,1.4,1.4,1.3,1.08,1.08,1.08,1.08,1.09,1.09,62.8,4.9,89.77,886,89.78,887,89.57,885,89.78,887,89.27,882,74.75,740,47,95,88,176,75,151
28,65,14,58,15,1.9,1.9,1.9,1.9,1.8,1.8,1.3,1.3,1.31,1.31,1.31,1.3,45.8,2.6,100,560,100,553,100,550,100,550,100,548,100,545,10,79,13,106,11,100
29,61,7,64,29,1.6,1.6,1.6,1.6,1.5,1.5,1.02,1.02,1.02,1.02,1.02,1.02,37.2,2.3,26.33,149,26.19,148,26.19,148,7.96,45,18.02,102,17.84,101,,,,,0,0
30,37,15,23,10,1.6,1.6,1.7,1.7,1.8,1.8,1.23,1.23,1.25,1.28,1.3,1.28,60.0,6.4,100,1099,100,1096,100,987,100,854,100,504,100,503,66,1654,73,1814,78,1957
31,55,6,54,18,1.7,1.7,1.7,1.7,1.6,1.7,1.21,1.21,1.21,1.21,1.21,1.21,27.8,2.5,70.25,484,62.41,425,62.19,421,62.13,420,60.47,410,61.45,416,17,34,15,30,34,34
32,71,16,68,6,1.2,1.2,1.2,1.2,1.2,1.2,1.07,1.07,1.07,1.08,1.08,1.08,75.7,2.0,100,220,100,220,100,220,100,220,100,220,100,220,14,111,15,123,10,80
33,35,16,51,20,1.3,1.3,1.3,1.3,1.3,1.3,1.17,1.17,1.17,1.19,1.19,1.19,20.4,1.1,100,628,100,628,100,628,100,628,100,623,100,612,28,198,45,312,39,275
34,47,7,47,5,1.4,1.4,1.3,1.4,1.4,1.4,1.12,1.12,1.13,1.13,1.15,1.15,26.7,4.5,24.92,227,27.19,227,27.67,228,28.29,230,28.43,230,29.53,233,,,,,,
35,65,9,63,8,1.4,1.4,1.4,1.4,1.4,1.3,1.26,1.27,1.27,1.27,1.29,1.29,17.7,5.0,43.89,449,10.03,93,0,0,46.44,372,49.07,369,51.1,347,16,32,11,32,25,76
36,63,9,60,7,1.6,1.6,1.6,1.6,1.7,1.7,1.1,1.1,1.1,1.1,1.12,1.12,37.7,4.5,63.26,842,63.5,842,61.12,753,61.17,753,55.38,582,56.6,583,9,45,11,45,11,46
37,42,8,35,8,2.2,2.2,2.2,2.2,2.3,2.2,1.42,1.42,1.42,1.42,1.44,1.44,92.5,7.9,100,787,100,776,100,774,100,779,100,780,100,790,38,606,47,754,47,756
38,63,6,63,22,1.3,1.3,1.3,1.3,1.3,1.4,1.17,1.17,1.17,1.17,1.21,1.22,24.0,7.6,0.48,4,0.48,4,0.48,4,0.48,4,1.19,10,1.19,10,3,34,2,26,1,9
39,76,11,77,11,1.6,1.6,1.5,1.6,1.6,1.5,1.05,1.05,1.05,1.05,1.05,1.05,42.8,5.7,0.5,5,4.75,47,4.56,44,4.62,44,4.68,44,4.94,46,,,,,,
40,52,10,49,10,1.3,1.3,1.3,1.3,1.3,1.3,1.22,1.22,1.22,1.22,1.22,1.22,55.0,5.2,99.92,1223,100,1193,100,1191,100,1183,100,1183,100,1183,28,223,30,301,32,318
41,62,7,61,4,1.5,1.5,1.5,1.5,1.6,1.6,1.1,1.1,1.1,1.1,1.13,1.13,,,100,774,100,774,100,773,100,773,100,773,100,774,2,25,2,25,1,12
42,53,8,51,7,1.4,1.4,1.4,1.4,1.3,1.3,1.07,1.07,1.07,1.07,1.07,1.07,45.1,3.8,63.33,841,63.33,841,67.92,902,67.85,901,63.33,841,63.53,843,23,46,34,67,26,53
43,47,10,35,5,1.5,1.5,1.4,1.5,1.4,1.4,1.15,1.15,1.15,1.15,1.15,1.15,27.7,2.2,95.72,626,95.41,624,95.42,625,95.41,624,95.39,621,95.1,602,0,0,1,5,0,0
44,51,16,59,18,1.4,1.4,1.4,1.4,1.4,1.4,1.04,1.04,1.04,1.04,1.04,1.04,53.1,2.8,45.08,220,44.58,214,43.76,207,42.73,197,42.42,193,42.95,192,19,19,25,25,31,31
45,66,3,70,7,1.4,1.4,1.4,1.4,1.5,1.4,1.28,1.28,1.27,1.23,1.31,1.3,53.1,13.0,23.26,381,12.38,159,8.39,99,8.27,94,0,0,0,0,87,260,0,0,,
46,53,9,56,11,1.4,1.4,1.5,1.4,1.5,1.5,1.06,1.06,1.06,1.06,1.07,1.07,13.5,1.1,0,0,0,0,0,0,0,0,60.04,574,45.25,433,,,,,,
47,73,13,73,4,2,2,2,2,1.5,1.1,1.08,1.08,1.08,1.08,1.08,1.08,58.6,1.8,100,606,100,591,100,639,100,640,100,640,100,641,84,419,106,530,99,496
48,77,10,77,11,1.3,1.3,1.3,1.3,1.3,1.3,1.18,1.18,1.18,1.18,1.25,1.27,45.4,6.3,44.55,270,44.74,272,42.62,260,44.55,274,44.66,276,41.85,262,27,135,59,297,67,333
49,63,14,56,33,1.2,1.2,1.3,1.2,1.2,1.2,1.08,1.08,1.08,1.08,1.12,1.11,32.2,5.1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
50,76,11,67,12,1.8,1.8,1.8,1.8,1.8,1.7,1.11,1.11,1.11,1.11,1.11,1.11,40.5,2.8,92.59,975,92.6,976,92.6,976,92.6,976,92.59,975,92.59,975,529,1587,435,1738,455,1822
51,39,9,39,8,1.7,1.7,1.8,1.7,1.8,1.9,1.36,1.35,1.35,1.34,1.38,1.38,74.3,7.8,100,1137,100,761,100,765,100,732,100,737,100,737,68,813,80,876,110,987
52,52,11,34,10,1.2,1.2,1.2,1.2,1.2,1.2,1.05,1.04,1.03,1.03,1.05,1.08,72.6,5.8,100,744,100,596,100,551,100,551,100,889,100,892,62,986,73,1456,73,2178
53,41,7,37,7,1.7,1.7,1.7,1.7,1.8,1.8,1.2,1.2,1.2,1.2,1.16,1.16,49.2,5.3,100,1060,100,1060,100,1221,100,1222,100,1060,100,1057,47,1125,46,1195,46,1198
54,54,37,18,17,1.6,1.5,1.6,1.5,1.6,1.6,1.2,1.19,1.19,1.19,1.13,1.13,42.5,5.6,95.1,543,95.09,542,94.81,530,94.99,531,94.84,533,94.66,532,31,344,33,359,34,373
55,50,12,49,13,1.5,1.5,1.5,1.5,1.5,1.5,1.12,1.12,1.12,1.12,1.1,1.1,34.0,4.2,94.81,767,95.03,765,94.91,764,94.89,762,91.78,737,90.05,724,2,25,4,40,5,39
56,63,15,53,14,1.5,1.5,1.5,1.5,1.5,1.4,1.08,1.08,1.08,1.08,1.08,1.08,49.6,2.7,89.56,326,89.56,326,89.01,324,89.56,326,90.53,325,90.25,324,305,1222,322,1287,321,1285
57,72,13,66,27,1.3,1.3,1.4,1.4,1.5,1.5,1,1,1.03,1.03,1.09,1.12,51.6,2.1,100,669,100,669,100,669,100,669,100,669,100,683,81,242,69,274,36,180
58,68,12,70,30,1.4,1.4,1.4,1.4,1.3,1.4,1.17,1.17,1.17,1.17,1.17,1.17,60.3,3.6,100,486,100,485,100,484,100,485,100,485,100,485,78,859,75,825,58,811
59,69,9,75,4,1.5,1.5,1.5,1.5,1.5,1.5,1.15,1.15,1.15,1.15,1.15,1.15,26.4,2.6,100,1110,100,1110,100,1110,100,1110,100,1111,100,1111,373,2614,344,2407,163,1141
60,48,11,51,12,1.3,1.3,1.3,1.3,1.4,1.4,1.23,1.23,1.23,1.23,1.35,1.36,15.0,2.3,93.58,1575,93.58,1575,92.19,1275,90.42,1019,100,1128,99.9,997,85,1103,71,920,109,1421
61,59,13,65,5,1.4,1.4,1.4,1.4,1.5,1.5,1.12,1.12,1.12,1.12,1.14,1.14,20.7,1.4,0,0,0,0,0,0,0,0,99.08,429,99.08,429,0,1,2,6,44,175
62,26,8,24,7,1.6,1.6,1.5,1.5,1.2,0,1.11,1.11,1.11,1.13,1.13,1.05,,,100,64,100,64,100,64,100,64,100,138,100,199,151,4820,197,6109,198,6533
64,60,11,68,15,1.2,1.2,1.2,1.3,1.3,0,1.21,1.21,1.21,1.23,1.26,1.21,18.1,2.2,99.84,2554,99.88,2560,99.85,2042,99.85,2064,99.54,1965,95.84,1889,6,12,11,22,9,19
65,38,18,37,20,1.3,1.3,1.3,1.3,1.6,1.6,1.27,1.27,1.27,1.27,1.45,1.43,,,100,1225,70.09,860,91.68,860,70.2,860,82.58,896,73.14,716,,,,,25,25
66,56,14,44,14,1.2,1.2,1.2,1.2,1.3,1.2,1.12,1.12,1.12,1.12,1.13,1.15,29.1,1.9,100,1353,100,1353,100,1353,100,1353,100,1263,100,1256,55,164,167,836,123,986
67,44,25,53,19,1.3,1.3,1.4,1.3,1.3,1.3,1.14,1.14,1.15,1.15,1.15,1.15,44.7,1.7,100,631,100,631,100,643,100,643,100,631,100,323,,,,,,
68,52,12,58,12,1.1,1.2,1.2,1.2,1.2,1.2,1.09,1.09,1.09,1.09,1.09,1.09,38.5,5.7,61.13,692,61.22,693,60.87,689,61.17,693,61.17,693,60.81,689,20,184,15,108,36,107
69,36,9,25,6,1.5,1.5,1.6,1.5,1.5,1.5,1.17,1.18,1.16,1.16,1.16,1.16,52.8,4.0,74.2,535,93.87,674,93.88,675,93.07,591,100,755,100,754,1,3,2,4,3,24
70,36,16,36,13,1.8,1.8,1.7,1.8,1.8,1.9,1.32,1.32,1.32,1.32,1.38,1.38,46.2,4.3,100,519,100,520,100,521,100,521,100,523,100,522,257,2566,262,2624,254,2537
71,55,8,58,6,1.6,1.6,1.5,1.6,1.6,1.6,1.12,1.12,1.12,1.15,1.15,1.15,44.8,3.4,100,1426,100,1425,100,1425,100,1425,100,1417,100,1408,229,917,198,792,260,780
72,66,15,69,15,1.4,1.4,1.4,1.4,1.6,1.6,1.32,1.32,1.32,1.31,1.35,1.35,19.1,5.6,93.33,1694,91.63,1325,89.27,1007,89.71,1055,87.94,1035,76.11,427,222,2437,276,1929,231,1845
73,74,12,59,11,1.2,1.2,1.2,1.2,1.3,1.3,1.18,1.18,1.18,1.18,1.27,1.28,17.0,6.7,0.44,5,0.46,5,0.46,5,0.47,5,0.48,5,0.49,5,,,,,,
74,49,14,45,13,1.6,1.6,1.6,1.6,1.6,1.6,1.04,1.04,1.04,1.04,1.04,1.04,67.7,3.4,100,740,100,740,100,740,100,740,100,740,100,740,30,266,34,302,27,246
75,60,7,72,34,1.3,1.3,1.3,1.3,1.3,1.3,1.13,1.12,1.13,1.11,1.14,1.14,52.2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
76,64,2,68,19,1.3,1.3,1.2,1.2,1.3,1.3,1.13,1.12,1.12,1.12,1.15,1.15,46.8,8.5,7.84,92,7.84,92,7.63,88,7.87,87,8.66,84,10.17,80,234,234,256,256,250,250
77,73,9,64,8,1.4,1.4,1.4,1.4,1.4,1.4,1.19,1.19,1.19,1.19,1.24,1.24,57.1,10.4,50.49,1133,50.49,1133,50.51,1134,64.86,1456,66.57,1416,66.52,1363,14,43,37,111,34,101
78,57,12,53,12,1.5,1.3,1.3,1.3,1.3,1.3,1.17,1.17,1.17,1.17,1.17,1.17,49.4,5.5,93.47,859,93.47,859,93.36,858,93.97,857,94.98,851,95.7,801,27,271,33,328,34,335
79,50,13,43,14,1.2,1.2,1.2,1.2,1.2,1.2,1,1,1,1,1.05,1.05,36.0,0.7,100,679,100,679,100,518,100,518,100,679,100,679,65,326,70,351,79,393
80,67,21,60,14,1.3,1.3,1.3,1.3,1.4,1.3,1.27,1.27,1.27,1.27,1.27,1.23,7.8,1.1,95.81,1121,1.02,12,0,0,0,0,1.02,12,0,0,,,,,,
81,63,15,63,7,1.3,1.3,1.3,1.3,1.3,1.3,1.06,1.06,1.06,1.06,1.06,1.06,60.5,3.2,95.92,447,95.92,447,95.37,433,95.81,435,95.15,432,94.05,427,5,16,13,27,13,25
82,75,10,69,9,1.5,1.5,1.4,1.5,1.5,1.5,1.24,1.24,1.24,1.26,1.26,1.24,54.5,5.4,87.94,1043,87.77,1019,90.12,1022,90.69,818,90.69,818,90.69,818,12,36,12,37,14,41
83,46,13,46,13,1.1,1.1,1.1,1.1,1.2,1,1.02,1.02,1.02,1.02,1.05,1.04,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
84,51,13,50,17,1.3,1.3,1.3,1.3,1.4,1.2,1.16,1.16,1.16,1.17,1.27,1.23,6.8,1.6,14.18,37,16.09,37,20,48,22.35,59,0,0,0,0,20,20,0,0,,
85,46,18,43,15,1.9,1.9,2,1.9,2,1.9,1.26,1.26,1.26,1.26,1.26,1.26,58.3,4.6,100,763,100,767,100,769,100,771,100,776,100,781,188,1506,171,1540,175,1573
86,58,5,66,6,1.3,1.3,1.3,1.3,1.2,1.2,1,1,1,1,1,1,75.6,1.7,100,1116,100,1116,100,1116,100,1116,100,993,100,1050,75,522,89,621,98,686
87,53,19,51,16,1.6,1.6,1.6,1.6,1.6,1.6,1.15,1.15,1.15,1.15,1.15,1.15,79.3,4.1,100,696,100,682,100,681,100,682,100,684,100,690,235,1648,249,1742,251,1756
88,52,9,64,9,1.8,1.8,1.8,1.8,1.7,1.7,1.21,1.21,1.21,1.21,1.24,1.24,60.2,5.5,100,483,100,475,100,466,100,469,100,474,100,481,32,473,34,517,34,508
89,73,5,73,13,1.7,1.7,1.7,1.7,1.4,1.4,1.1,1.1,1.1,1.1,1.1,1.1,42.0,2.6,99.09,545,99.09,545,99.09,544,99.09,545,98.91,543,98.91,543,39,195,50,248,45,227
90,67,10,69,11,1.9,1.9,1.9,1.9,1.9,1.9,1.19,1.19,1.19,1.19,1.19,1.19,46.0,2.8,100,829,100,828,100,828,100,828,100,828,100,826,108,1398,127,1653,131,1706
91,73,9,73,2,1.3,1.3,1.4,1.3,1.2,1.3,1.07,1.07,1.07,1.07,1.08,1.08,26.9,1.8,67.18,563,67.18,563,67.7,568,67.22,564,67.22,564,67.02,563,0,0,0,0,0,1
92,49,8,47,7,1.3,1.3,1.3,1.3,1.4,1.3,1.31,1.31,1.31,1.31,1.31,1.31,21.2,1.9,100,1476,100,1344,100,1344,100,1330,100,1058,100,909,119,715,95,668,86,605
