NPA,m33_2018,m33_moe_2018,m33_2017,m33_moe_2017,m34_2018,m34_2017,m34_2016,m34_2015,m34_2013,m34_2011,m35_2018,m35_2017,m35_2016,m35_2015,m35_2013,m35_2011,m70_2015,r70_2015,m36_2018,r36_2018,m36_2017,r36_2017,m36_2016,r36_2016,m36_2015,r36_2015,m36_2013,r36_2013,m36_2011,r36_2011,m44_2015,r44_2015,m44_2014,r44_2014,m44_2013,r44_2013
398,34,11,27,13,1.4,1.4,1.3,1.4,1.5,,1.22,1.22,1.23,1.23,1.33,,,,94.86,406,94.81,402,94.7,393,94.46,375,94.27,362,93.7,327,2,3,2,4,5,9
399,65,9,63,10,1.4,1.4,1.3,1.4,1.6,,1.32,1.32,1.33,1.33,1.39,,,,98.45,1078,98.71,1071,99.43,1051,99.13,1027,99.13,1021,99.13,1021,151,905,173,1041,167,1000
400,68,11,69,8,1.1,1.1,1.1,1.1,1.2,,1,1,0.99,1,1,,,,32.77,291,32.96,291,32.8,289,32.8,289,32.69,288,0,0,1,3,1,2,0,0
401,70,11,71,12,1.2,1.2,1.1,1.2,1.3,,1.11,1.11,1.11,1.11,1.15,,,,0,0,0,0,0,0,0,0,0,0,39.46,324,,,,,0,0
402,69,12,64,12,1.1,1.1,1.1,1.1,1.2,,1.14,1.14,1.14,1.14,1.19,,,,0,0,0,0,0,0,0,0,0,0,1.04,6,,,,,,
403,82,15,74,10,1.3,1.3,1.3,1.3,1.3,,1.11,1.11,1.1,1.11,1.11,,,,9.72,72,10.24,72,10.45,72,10.5,71,10,65,29.42,178,68,68,118,118,26,103
404,50,11,54,30,1.3,1.3,1.3,1.3,1.3,,1.17,1.17,1.17,1.17,1.2,,,,97.53,830,97.54,831,99.06,845,97.53,828,97.53,829,83.98,713,8,34,11,43,11,42
405,57,12,48,10,1.4,1.4,1.4,1.4,1.7,,1.33,1.33,1.35,1.35,1.56,,,,34.34,476,34.08,470,34.08,470,34.13,471,34.2,471,34.38,471,,,,,,
406,74,14,75,15,1.2,1.2,1.2,1.2,1.3,,1.15,1.15,1.15,1.15,1.16,,,,18.74,200,8.9,82,9.49,82,9.66,82,8.31,68,21.56,169,,,,,2,4
407,71,10,75,9,1.3,1.3,1.3,1.3,1.3,,1.11,1.11,1.11,1.11,1.12,,,,25.44,188,25.76,187,25.84,185,25.95,184,26.39,185,26.14,183,6,6,6,11,9,18
408,73,12,75,12,1.5,1.5,1.5,1.5,1.5,,1.18,1.18,1.18,1.18,1.18,,,,47.41,512,47.12,507,47.01,503,46.97,503,46.8,498,74.98,770,0,1,0,2,1,7
409,60,13,58,12,1.4,1.4,1.4,1.4,1.4,,1.12,1.12,1.12,1.12,1.12,,,,25.02,267,26.59,280,26.32,275,26.37,275,26.04,269,25.96,263,2,4,3,7,4,8
410,64,12,69,43,2.2,2.2,2.2,2.2,2.2,,1.11,1.11,1.11,1.11,1.13,,,,97.4,974,97.3,972,97.3,974,97.3,972,97.3,973,97.17,963,1,6,3,11,3,13
411,65,6,65,10,1.9,1.9,1.9,1.9,2.2,,1.24,1.24,1.27,1.27,1.53,,,,27.48,172,26.45,164,26.41,164,26.53,165,26.53,165,25.5,154,1,2,1,2,1,2
412,47,20,47,20,1.5,1.5,1.5,1.5,1.3,,1.11,1.11,1.11,1.11,1.19,,8.7,1.3,0,0,1.59,4,1.59,4,1.61,4,0.81,2,0.84,2,,,,,,
413,68,8,72,10,1.5,1.5,1.5,1.5,1.1,,1.08,1.08,1.08,1.09,1.1,,48.4,8.2,0,0,10.45,127,10.63,129,10.46,127,17.66,214,16.07,192,2,8,4,18,2,12
416,57,17,53,14,2.1,2.1,2.1,2.1,1.5,,1.29,1.29,1.29,1.29,1.32,,67.1,5.2,100,893,100,893,100,893,100,893,100,893,100,893,575,1726,611,1832,267,1866
417,71,10,61,11,1.7,1.7,1.7,1.8,1.4,,1.26,1.23,1.23,1.25,1.28,,57.6,7.4,67.84,557,55.18,437,60.92,438,67.13,437,77.91,508,77.88,507,6,19,8,25,9,28
418,65,12,66,12,1.6,1.6,1.6,1.6,1.3,,1.24,1.24,1.24,1.24,1.26,,64.0,11.5,90.09,1055,90.09,1055,90.78,1063,90.09,1055,90.09,1055,90.78,1063,5,44,6,45,6,50
419,72,13,71,13,1.6,1.6,1.5,1.6,1.1,,1.04,1.04,1.04,1.04,1.02,,51.9,6.2,18.8,181,18.57,177,17.86,170,18.57,177,15.44,147,15.65,149,,,,,,
420,67,7,68,8,1.5,1.5,1.5,1.5,1.1,,1.1,1.11,1.1,1.1,1.1,,53.6,8.3,41.77,467,36.11,403,35.91,400,36.44,403,37.24,404,37.52,400,9,18,11,22,13,26
421,71,8,70,8,1.8,1.8,1.8,1.8,1.3,,1.31,1.31,1.31,1.3,1.3,,46.7,6.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
422,64,6,68,11,1.5,1.5,1.5,1.5,1.5,,1.32,1.32,1.32,1.32,1.37,,22.3,8.4,72.21,751,67.46,595,64.5,525,64.62,526,92.08,535,92.07,534,10,175,9,170,7,167
423,83,14,80,11,1.3,1.3,1.3,1.3,1.4,,1.17,1.16,1.17,1.17,1.26,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
424,66,8,68,40,1.1,1.1,1,1.1,1.1,,1.04,1.06,1.04,1.05,1.06,,4.8,0.8,43.2,340,46.21,360,46.2,359,46.45,360,47.09,364,46.97,364,4,4,2,2,6,6
425,74,7,85,40,1.1,1.1,1,1.1,1.1,,1.07,1.07,1.02,1.02,1.1,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
426,74,6,72,8,1.1,1.1,1,1.1,1.1,,1.04,1.04,1.04,1.04,1.04,,,,47.65,386,47.77,386,49.57,401,47.71,386,79.48,643,70.74,573,124,124,71,141,45,136
428,71,8,72,17,1.4,1.4,1.3,1.4,1.4,,1.12,1.12,1.12,1.12,1.16,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
430,43,11,55,15,1.7,1.7,1.7,1.7,1.6,,1.26,1.26,1.26,1.27,1.31,,,,40.81,713,40.19,662,39.44,633,38.1,591,38.71,590,45.98,595,,,,,,
431,74,9,88,11,1.2,1.2,1.2,1.2,1.3,,1.04,1.04,1.04,1.04,1.06,,,,37.05,266,36.66,257,36.65,254,36.48,251,36.71,250,36.62,249,1,3,3,10,2,6
432,68,6,64,6,1.1,1.1,1.1,1.1,1.1,,1.06,1.06,1.06,1.08,1.09,,,,0.87,8,0.98,9,1.09,10,1.11,10,0,0,0,0,13,13,,,,
433,79,8,72,27,1.2,1.2,1.2,1.2,1.5,,1.07,1.07,1.07,1.07,1.14,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
434,68,12,61,14,1.2,1.2,1.2,1.2,1.3,,1.18,1.17,1.17,1.17,1.29,,42.0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
435,90,10,65,30,1.7,1.7,1.7,1.7,1.7,,1.12,1.12,1.12,1.12,1.12,,,,53.44,132,53.66,132,54.1,132,55.51,131,57.21,131,59.73,132,1,1,0,1,1,1
436,69,5,69,35,1.2,1.2,1.1,1.2,1.2,,1.05,1.04,1.04,1.04,1.04,,,,73.39,444,73.39,444,73.34,443,73.47,443,73.47,443,73.34,443,5,11,13,27,11,22
437,66,10,65,12,1.3,1.3,1.3,1.3,1.4,,1.29,1.3,1.29,1.28,1.41,,30.8,12.7,37.82,613,42.76,605,42.69,575,42.43,535,71.39,816,72.49,722,8,62,4,29,3,58
438,65,3,57,6,1.4,1.4,1.3,1.4,1.6,,1.31,1.31,1.31,1.34,1.51,,,,50.73,697,61.16,677,59.41,546,60.42,487,61.48,415,53.9,221,8,31,9,34,9,36
442,76,6,78,11,1.2,1.2,1.1,1.2,1.4,,1.03,1.03,1.03,1.03,1.09,,,,86.75,668,88.02,661,88.8,650,88.57,643,88.16,633,88.55,634,1,1,2,2,1,1
443,55,11,57,10,1.2,1.2,1.2,1.2,1.6,,1.02,0.97,0.97,1,1.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
444,55,10,59,11,1.2,1.1,1.1,1.1,1.5,,1.02,1,1,1,1.08,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
445,66,7,66,7,1.2,1.2,1.2,1.2,1.3,,1.06,1.06,1.06,1.06,1.06,,51.1,6.5,55,561,55.59,567,55,561,54.96,560,59.71,609,59.61,608,1,1,1,1,1,2
446,59,11,66,11,1.2,1.2,1.2,1.2,1.1,,1.12,1.12,1.12,1.12,1.12,,48.9,4.7,29.37,158,30.45,162,30.86,162,32.46,162,33.61,162,33.68,162,,,,,,
447,74,10,72,13,1.4,1.4,1.5,1.4,1.3,,1.38,1.38,1.37,1.32,1.32,,52.3,11.3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
448,57,8,59,8,1.3,1.3,1.3,1.3,1.5,,1.32,1.32,1.32,1.32,1.46,,,,99.11,1672,99.02,1614,98.94,1582,98.96,1519,98.66,1473,92.77,1206,5,53,7,67,6,61
449,68,9,69,7,1.1,1.1,1.1,1.1,1.1,,1.08,1.08,1.08,1.08,1.08,,,,24.27,234,23.09,217,22.93,213,23.11,217,22.81,213,22.57,209,8,8,10,10,7,7
450,72,10,76,10,1.2,1.2,1.2,1.2,1.3,,1.22,1.22,1.22,1.22,1.26,,23.5,9.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
451,70,10,70,2,1.2,1.2,1.2,1.2,1.5,,1.22,1.21,1.21,1.21,1.34,,48.2,18.6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
452,63,14,47,28,1.3,1.3,1.2,1.3,1.3,,1.23,1.23,1.23,1.22,1.25,,47.1,7.7,72.94,442,84.77,512,84.6,511,84.72,510,88.94,539,86.71,450,9,118,10,124,6,109
453,53,9,61,16,1.3,1.3,1.3,1.3,1.3,,1.19,1.18,1.18,1.18,1.19,,,,10.08,92,10.37,95,10.37,95,10.47,96,10.47,96,10.66,98,,,,,,
454,69,2,66,5,1.1,1.1,1.1,1.1,1.2,,1.03,1.03,1.03,1.03,1.08,,,,5.01,27,5.36,29,5.36,29,5.36,29,5.37,29,5.34,29,,,,,,
455,75,9,71,23,1.1,1.1,1.1,1.1,1.2,,1.07,1.07,1.07,1.07,1.15,,,,0,0,0,0,0,0,0,0,0,0,17.95,135,,,,,0,0
456,84,33,95,58,1.3,1.3,1.3,1.3,1.4,,1.26,1.25,1.25,1.28,1.29,,,,100,409,100,399,99.63,545,99.63,544,99.64,550,97.5,195,137,274,187,374,188,376
457,59,12,48,13,1,1,1,1,1.1,,1,1,1,1,1,,,,49.86,184,50.14,184,50.96,186,50.41,184,48.09,176,0,0,0,0,,,,
458,58,12,64,45,1.2,1.2,1.2,1.2,1.5,,1.2,1.2,1.2,1.2,1.33,,,,40.86,161,40.86,161,45.18,178,40.86,161,40.86,161,38.27,150,1,1,1,1,1,1
459,78,10,74,7,1.1,1.1,1.1,1.1,1.1,,1.04,1.04,1.04,1.04,1.05,,,,12.81,125,12.82,125,12.83,125,12.82,125,12.92,126,12.82,125,,,,,,
460,64,12,62,11,1.2,1.2,1.2,1.2,1.2,,1.16,1.16,1.16,1.15,1.17,,,,38.01,412,37.99,411,37.95,411,37.92,411,38.06,408,38.6,408,10,21,9,19,9,19
462,69,14,62,15,1.3,1.3,1.3,1.3,1.5,,1.22,1.22,1.24,1.23,1.37,,26.3,7.9,8.67,81,23.23,200,24.6,198,26.38,201,59.81,445,57.72,400,11,32,13,40,3,30
463,39,9,27,8,1.1,1.1,1.2,1.1,1.1,,1.08,1.08,1.08,1.08,1.09,,38.0,4.2,79.76,859,100,1077,100,1009,100,1009,100,1011,100,1002,4,28,8,63,9,80
464,71,12,68,12,1.4,1.4,1.3,1.3,1.4,,1.33,1.33,1.33,1.32,1.32,,53.6,12.0,57.69,941,90.09,1291,88.78,1131,88.85,1131,89,1133,90.45,1108,16,186,17,190,13,174
465,64,11,61,11,1.2,1.2,1.2,1.2,1.2,,1.11,1.11,1.11,1.11,1.14,,,,0.4,2,0.4,2,0.4,2,0.4,2,0,0,0,0,,,,,,
466,60,8,68,10,1.3,1.3,1.3,1.3,1.4,,1.25,1.25,1.29,1.29,1.32,,24.3,6.9,8.83,86,8.89,86,8.85,85,8.96,85,9.14,86,9.23,86,,,,,,
467,61,2,58,8,1.3,1.3,1.3,1.2,1.2,,1.17,1.16,1.16,1.16,1.19,,62.7,6.9,17.11,122,70.97,506,70.97,506,70.89,504,57.67,410,59.94,407,3,10,3,7,11,34
468,17,8,13,8,1.1,1.1,1.2,1.2,1.1,,0.98,0.98,0.98,1,1.05,,24.9,1.7,39.77,35,55.81,48,55.81,48,56.82,50,56.32,49,56.32,49,3,6,3,6,2,4
469,47,10,52,11,1.3,1.3,1.3,1.3,1.4,,1.24,1.25,1.25,1.25,1.37,,29.7,6.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
470,69,12,74,33,1.1,1.1,1.1,1.1,1.1,,1.07,1.07,1.07,1.07,1.09,,,,50.33,529,51.07,527,51.41,529,51.21,527,51.65,532,50.83,523,,,,,,
471,53,11,57,13,1.4,1.4,1.4,1.4,1.6,,1.29,1.28,1.28,1.28,1.34,,,,98.47,1541,98.19,1249,98.27,1248,98.19,1248,98.2,1252,98.27,1248,35,461,38,529,40,523
472,57,3,61,9,1.4,1.4,1.3,1.4,1.7,,1.13,1.12,1.13,1.13,1.13,,,,8.21,46,8.73,48,9.23,50,9.09,49,9.14,49,7.91,42,,,,,,
473,62,7,59,11,1.2,1.2,1.2,1.3,1.3,,1.19,1.19,1.19,1.27,1.3,,59.4,9.2,89.43,973,100,1050,100,1038,100,1042,100,1028,100,1017,19,280,23,343,21,316
474,63,10,67,11,1.2,1.2,1.2,1.2,1.2,,1.16,1.16,1.16,1.16,1.18,,,,66.29,767,66.49,768,66.67,766,66.58,765,66.78,766,66.78,764,13,38,15,46,14,42
475,30,7,36,8,1.2,1.2,1.2,1.2,1.6,,1.19,1.2,1.19,1.18,1.23,,69.6,9.4,34.39,304,33.83,297,34.67,294,35.07,296,34.84,286,45.65,273,2,12,2,14,2,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
